label,ax,ay,az,gx,gy,gz
6,2.62,-1.12,8.73,-0.06,-0.04,0.07
6,2.63,-1.04,8.80,-0.09,-0.04,"0.09"
6,2.84,-1.10,8.87,-0.10,0.01,"0.14"
6,3.06,-1.31,9.08,-0.09,-0.05,0.13
6,2.95,-1.39,9.19,-0.11,-0.02,0.12
6,3.20,-1.55,9.20,-0.11,-0.06,0.12
6,2.90,-1.44,9.11,-0.06,-0.04,0.11
6,3.25,-1.91,9.22,-0.17,0.06,0.18
6,3.34,-1.58,9.13,-0.13,0.11,0.15
6,2.67,-0.87,9.52,-0.24,0.05,"0.11"
6,2.55,0.90,9.92,-0.20,0.08,"0.03"
6,3.01,3.29,10.24,-0.13,0.30,-0.05
6,0.96,7.15,10.86,0.09,0.56,-0.53
6,1.37,16.72,12.55,-0.40,1.09,"-0.65"
6,-2.81,18.53,9.90,1.23,1.12,"-0.68"
6,-9.43,-2.99,6.04,0.96,3.06,2.00
6,-18.06,-43.05,9.11,-7.12,-4.29,"6.49"
6,28.45,-14.50,10.71,0.47,0.09,1.01
6,-1.73,-5.90,5.50,5.95,4.91,0.04
6,0.83,-3.79,6.74,-0.30,0.01,"-0.13"
6,1.34,-1.49,7.63,0.39,-0.01,"-0.46"
6,-1.34,-2.03,8.05,0.06,-0.08,-0.28
6,0.41,-1.07,9.19,-0.17,0.05,-0.08
6,1.14,-1.08,9.31,-0.21,0.07,"-0.08"
6,0.32,-1.28,9.54,-0.01,-0.19,-0.30
6,1.49,-1.23,9.30,-0.10,0.07,"-0.03"
6,1.80,-1.88,9.83,0.22,-0.37,-0.56
6,0.17,-0.68,8.98,-0.05,0.31,-0.30
6,1.48,-0.86,9.44,-0.18,-0.39,"-0.43"
6,1.34,-0.78,9.41,0.02,-0.01,"-0.05"
6,0.78,-1.56,9.75,-0.05,0.10,-0.18
6,0.75,-0.96,9.32,-0.11,0.01,-0.07
6,1.33,-1.34,9.63,0.08,0.13,-0.11
6,0.79,-1.12,9.36,0.01,0.08,-0.10
6,0.64,-0.96,9.22,-0.02,0.20,-0.02
6,1.21,-1.11,9.43,0.04,-0.14,0.02
6,0.51,-1.12,9.47,-0.07,0.08,0.05
6,1.43,-1.04,9.36,-0.05,0.05,0.04
6,1.08,-0.81,9.17,-0.02,0.04,-0.00
6,0.83,-1.07,9.43,-0.03,-0.01,"0.00"
6,0.52,-1.02,9.54,0.01,0.06,"-0.03"
6,1.30,-0.97,9.47,-0.06,0.08,0.04
6,0.82,-1.02,9.39,-0.05,0.02,0.02
6,0.96,-1.45,9.37,-0.05,0.20,0.01
6,0.44,-0.76,9.37,-0.03,0.09,0.01
6,0.50,-0.57,9.17,-0.02,0.04,0.09
6,0.29,-0.71,9.15,-0.05,0.09,0.07
6,0.43,-0.95,9.31,-0.12,0.12,0.14
6,0.99,-1.06,9.28,-0.04,-0.02,"0.04"
6,0.21,-1.09,9.15,-0.02,0.10,"0.03"
