label,ax,ay,az,gx,gy,gz
0,4.53,-6.35,6.05,-0.07,0.02,0.02
0,4.69,-6.45,6.05,-0.05,0.02,0.03
0,4.54,-6.40,6.04,-0.03,-0.01,0.02
0,4.64,-6.34,5.96,-0.02,0.04,"0.02"
0,4.52,-6.31,5.98,-0.06,0.02,"0.03"
0,4.66,-6.45,6.01,-0.06,0.06,0.02
0,4.58,-6.38,6.00,-0.07,-0.02,0.01
0,4.61,-6.33,6.01,-0.05,0.05,"-0.00"
0,4.53,-6.41,6.06,-0.08,-0.02,0.00
0,4.61,-6.42,6.00,-0.05,0.05,"0.00"
0,4.44,-6.47,6.05,-0.10,-0.00,0.02
0,4.60,-6.43,6.02,-0.04,0.03,0.01
0,4.41,-6.36,6.04,-0.07,-0.01,0.03
0,4.77,-6.41,5.99,-0.03,0.05,0.02
0,4.53,-6.42,6.00,-0.08,-0.02,0.02
0,4.62,-6.45,6.03,-0.05,0.03,0.01
0,4.47,-6.42,6.03,-0.06,-0.02,0.01
0,4.58,-6.41,5.98,-0.03,0.03,0.02
0,4.56,-6.47,6.01,-0.07,0.02,"0.03"
0,4.59,-6.49,6.03,-0.06,0.03,"0.02"
0,4.52,-6.39,5.99,-0.04,0.00,0.02
0,4.58,-6.40,6.00,-0.04,0.02,0.02
0,4.56,-6.44,6.00,-0.04,0.01,0.01
0,4.60,-6.42,5.98,-0.05,0.03,0.01
0,4.45,-6.43,6.00,-0.05,0.01,0.01
0,4.62,-6.41,5.98,-0.07,0.02,0.03
0,4.52,-6.42,6.02,-0.06,0.01,0.02
0,4.60,-6.43,6.03,-0.05,0.01,0.01
0,4.44,-6.44,6.07,-0.06,0.01,0.01
0,4.47,-6.42,6.00,-0.04,0.03,0.01
0,4.58,-6.47,6.03,-0.06,0.02,"0.03"
0,4.59,-6.43,6.03,-0.04,0.02,0.02
0,4.57,-6.44,5.99,-0.06,0.00,"0.02"
0,4.58,-6.42,5.97,-0.04,0.01,0.01
0,4.61,-6.42,6.00,-0.06,0.01,0.02
0,4.54,-6.45,6.01,-0.06,0.02,0.00
0,4.58,-6.42,6.00,-0.06,0.02,-0.00
0,4.45,-6.44,6.02,-0.07,0.01,0.00
0,4.54,-6.44,5.98,-0.06,0.02,0.01
0,4.45,-6.47,6.03,-0.07,0.00,"0.01"
0,4.53,-6.46,6.03,-0.05,0.03,"0.02"
0,4.49,-6.46,6.03,-0.06,-0.03,0.03
0,4.46,-6.44,6.00,-0.08,0.02,"0.06"
0,4.59,-6.49,5.99,-0.04,0.02,0.04
0,4.58,-6.50,6.00,-0.06,0.01,0.03
0,4.54,-6.43,5.98,-0.03,0.00,0.01
0,4.45,-6.44,5.97,-0.03,0.02,0.01
0,4.56,-6.48,6.04,-0.06,0.01,0.02
0,4.54,-6.51,6.02,-0.03,0.01,0.01
0,4.46,-6.39,6.00,-0.04,0.01,"0.02"
