label,ax,ay,az,gx,gy,gz
4,2.11,-9.17,3.01,-0.00,0.02,-0.07
4,2.68,-9.25,2.87,-0.02,0.06,"-0.08"
4,2.39,-9.31,3.08,0.01,0.18,-0.12
4,2.67,-9.20,3.11,-0.00,0.08,"-0.17"
4,2.57,-9.26,3.29,0.01,0.16,-0.20
4,2.83,-9.10,3.27,0.04,0.19,-0.24
4,2.92,-9.31,3.84,0.07,0.23,-0.22
4,3.67,-8.42,4.82,0.28,0.24,"-0.39"
4,3.90,-8.32,6.30,0.33,0.56,-0.39
4,3.94,-7.98,7.59,0.60,0.56,"-0.35"
4,5.87,-9.39,7.85,0.90,0.42,-0.39
4,4.31,-9.00,9.44,1.39,0.61,-0.46
4,6.87,-10.38,11.44,1.42,-0.60,"-0.89"
4,6.79,-10.93,13.51,2.30,0.48,"-1.20"
4,6.71,-13.66,13.21,2.91,0.06,-1.09
4,6.08,-12.83,14.54,3.44,0.33,-1.65
4,5.65,-15.04,21.50,3.54,0.29,"-1.57"
4,8.35,-15.29,15.32,5.59,-0.26,"-2.05"
4,6.95,-16.95,9.06,5.65,0.53,-2.74
4,4.82,-14.22,1.40,5.89,0.20,"-3.20"
4,1.30,-9.88,-6.18,5.57,0.87,-3.51
4,-3.07,-5.33,-11.45,4.06,0.90,-3.23
4,-6.69,-0.45,-16.39,3.63,1.04,-2.73
4,-7.36,3.67,-11.97,0.81,0.14,-1.58
4,-7.11,5.80,-6.84,0.33,-0.32,-0.79
4,-6.46,7.89,-4.70,-0.08,-0.58,-0.02
4,-5.37,7.27,-2.92,-0.18,-0.54,0.43
4,-4.07,8.93,-2.52,-0.31,0.03,0.26
4,-4.08,8.48,-1.96,-0.31,-0.14,0.24
4,-3.36,8.90,-1.63,-0.21,-0.17,0.31
4,-2.69,9.29,-1.14,-0.30,-0.43,0.28
4,-2.47,9.24,-0.75,-0.23,-0.66,0.27
4,-2.53,9.18,-0.59,-0.03,-0.62,"0.20"
4,-2.74,9.15,-0.11,-0.17,-0.61,0.00
4,-3.00,9.12,-0.08,-0.03,-0.74,0.04
4,-3.20,9.01,-0.42,0.17,-0.51,-0.06
4,-3.63,8.50,-0.25,0.12,-0.21,"-0.21"
4,-4.08,8.70,-0.18,-0.05,-0.09,-0.20
4,-4.22,8.73,-0.65,-0.02,-0.21,-0.06
4,-3.80,8.44,-0.56,0.00,0.03,-0.01
4,-4.04,8.34,-0.35,-0.04,-0.04,"0.01"
4,-3.62,8.94,-1.18,0.04,-0.31,"0.13"
4,-3.18,8.45,-0.77,-0.07,0.03,0.09
4,-3.27,8.84,-0.60,-0.12,-0.02,"-0.05"
4,-3.73,9.04,-0.53,-0.14,0.01,-0.02
4,-3.61,8.42,-0.12,-0.09,0.03,"-0.02"
4,-3.78,8.37,-0.21,-0.06,-0.04,-0.03
4,-3.67,8.85,-0.90,-0.06,-0.12,"0.05"
4,-3.52,8.53,-0.46,-0.15,0.07,0.01
4,-3.74,8.61,-0.52,-0.15,-0.09,"0.06"
