label,ax,ay,az,gx,gy,gz
0,2.28,-2.75,9.38,-0.10,-0.02,0.09
0,2.50,-2.08,9.46,-0.08,0.03,"-0.13"
0,1.03,-1.63,9.02,0.03,0.41,"-0.13"
0,1.36,-2.37,8.94,-0.10,-0.00,0.23
0,2.48,-2.84,9.02,0.05,-0.14,"0.13"
0,2.48,-2.34,9.08,-0.14,0.01,-0.09
0,1.36,-2.33,9.44,-0.07,0.24,-0.11
0,1.16,-2.08,9.16,-0.03,-0.02,"0.02"
0,2.02,-2.09,8.95,-0.01,-0.03,0.05
0,1.83,-2.30,9.09,-0.04,0.07,0.02
0,1.76,-2.16,9.20,-0.04,0.03,-0.02
0,1.47,-2.13,8.99,-0.03,0.04,0.03
0,1.71,-2.17,9.02,-0.05,-0.01,"0.04"
0,1.74,-2.41,9.14,-0.08,-0.04,"0.02"
0,1.86,-2.25,9.21,-0.07,0.08,0.00
0,1.49,-2.20,9.18,-0.03,-0.02,-0.01
0,1.69,-2.25,9.22,-0.05,0.12,0.01
0,1.64,-2.30,9.23,-0.04,-0.00,0.01
0,1.60,-2.09,9.04,-0.00,0.03,0.02
0,1.64,-2.26,9.10,-0.01,-0.01,0.01
0,1.60,-2.12,9.05,-0.05,0.06,"0.00"
0,1.62,-2.14,9.17,-0.05,0.00,"0.01"
0,1.51,-1.92,9.08,-0.04,0.04,0.03
0,1.69,-2.19,9.12,-0.07,0.04,0.02
0,1.48,-2.34,9.27,-0.04,0.06,0.01
0,1.80,-2.16,9.04,-0.02,-0.04,"0.01"
0,1.46,-2.09,8.98,-0.07,0.06,"0.04"
0,1.55,-2.18,9.25,-0.05,-0.01,0.03
0,1.66,-2.09,9.13,-0.04,0.00,0.04
0,1.69,-2.19,9.22,-0.07,0.04,0.01
0,1.64,-2.10,9.15,-0.05,-0.00,0.01
0,1.56,-2.19,9.17,-0.04,0.02,-0.01
0,1.54,-2.14,9.21,-0.08,0.04,-0.00
0,1.57,-2.26,9.13,-0.04,0.03,-0.01
0,1.47,-2.28,9.18,-0.07,0.02,-0.01
0,1.55,-2.13,9.13,-0.05,0.01,"-0.01"
0,1.32,-2.25,9.14,-0.04,-0.02,"0.02"
0,1.75,-2.27,9.12,-0.06,0.04,0.01
0,1.47,-2.19,9.24,-0.08,0.00,-0.00
0,1.41,-2.08,9.30,-0.05,0.06,0.02
0,1.53,-2.29,9.32,-0.04,0.08,"0.04"
0,1.64,-2.28,9.16,-0.01,-0.02,0.04
0,1.68,-2.17,9.05,-0.03,0.01,0.00
0,1.48,-2.08,9.03,-0.03,-0.03,-0.01
0,1.40,-2.09,9.13,-0.03,0.03,0.00
0,1.58,-2.12,9.15,-0.03,0.01,0.02
0,1.41,-2.14,9.20,-0.05,-0.01,0.03
0,1.62,-2.12,9.15,-0.06,0.02,0.05
0,1.55,-2.26,9.26,-0.04,0.03,0.01
0,1.61,-2.15,9.18,-0.04,0.00,0.00
