label,ax,ay,az,gx,gy,gz
4,4.09,-6.98,5.59,0.06,0.06,-0.05
4,4.26,-6.79,5.45,0.01,-0.05,"-0.03"
4,3.86,-6.69,5.65,-0.08,0.08,"0.01"
4,4.34,-6.74,5.71,-0.06,-0.04,0.03
4,4.50,-6.73,6.00,-0.08,0.06,0.02
4,4.54,-6.64,6.30,-0.02,-0.04,-0.02
4,4.58,-6.30,6.54,0.02,-0.01,-0.00
4,4.76,-5.88,7.96,-0.08,0.03,0.02
4,5.17,-6.46,9.56,0.30,0.05,0.05
4,6.54,-5.79,10.14,0.63,-0.02,-0.19
4,6.75,-7.16,11.14,1.01,0.30,-0.31
4,7.02,-6.39,10.77,1.46,0.19,"-0.63"
4,7.24,-6.82,11.65,1.51,0.71,-0.82
4,6.98,-6.32,12.73,1.83,0.68,"-1.00"
4,5.86,-8.39,14.76,2.17,1.46,-0.97
4,8.09,-7.02,15.46,2.49,2.06,-0.86
4,3.90,-8.95,17.31,3.14,2.50,"-0.45"
4,5.58,-10.04,16.36,3.92,1.67,"-0.41"
4,5.92,-9.39,9.34,4.92,1.31,-0.51
4,6.22,-7.80,1.29,4.77,2.37,"-1.14"
4,1.07,-3.37,-4.02,4.23,1.36,"-1.29"
4,-1.75,-1.15,-5.30,3.51,1.22,"-1.18"
4,-5.09,2.53,-11.49,4.20,0.35,-0.73
4,-4.37,3.65,-15.60,2.57,-0.42,"-0.10"
4,-4.98,5.05,-11.19,0.92,-1.23,-0.23
4,-4.61,7.25,-6.60,0.12,-1.79,0.31
4,-1.26,9.41,-1.69,-1.60,-0.31,0.26
4,-4.77,7.94,1.94,-1.18,0.69,"-0.56"
4,-5.60,8.92,2.14,-0.42,-0.40,-0.01
4,-3.13,9.09,1.03,-0.48,-0.88,0.21
4,-3.86,8.55,0.93,-0.10,-0.19,0.06
4,-3.45,8.72,0.64,-0.20,-0.48,0.18
4,-2.76,8.59,0.46,-0.13,-0.19,"0.01"
4,-3.25,7.84,-0.05,-0.35,-0.23,-0.09
4,-3.51,7.98,0.61,-0.47,-0.12,"-0.20"
4,-4.08,8.56,1.46,-0.44,0.02,-0.17
4,-4.70,8.21,2.17,-0.43,0.10,"-0.08"
4,-4.16,8.42,2.17,-0.31,-0.13,0.10
4,-3.50,8.22,2.14,-0.24,-0.07,"0.05"
4,-3.65,8.32,2.17,-0.20,-0.13,0.04
4,-3.68,8.46,2.15,-0.14,-0.07,0.02
4,-3.53,8.24,2.23,-0.19,-0.03,-0.03
4,-3.91,8.21,2.33,-0.07,0.00,"-0.06"
4,-4.03,8.13,2.07,-0.04,-0.16,-0.03
4,-3.93,8.18,1.97,-0.07,-0.16,0.03
4,-3.77,7.98,1.94,0.02,-0.26,0.02
4,-3.92,8.18,1.77,0.02,-0.27,0.04
4,-3.82,8.47,1.68,0.00,-0.43,0.18
4,-2.80,8.30,2.03,-0.13,-0.92,0.31
4,-1.66,8.06,2.30,-0.14,-0.23,"0.00"
