label,ax,ay,az,gx,gy,gz
3,-0.99,2.73,8.72,0.27,-0.85,0.07
3,1.64,3.16,7.70,0.14,-0.35,0.03
3,0.35,3.31,8.65,-0.05,0.37,-0.02
3,0.81,3.06,9.13,0.00,-0.04,"0.04"
3,0.47,3.41,9.10,0.09,0.06,-0.05
3,0.91,3.55,9.18,0.06,0.08,-0.02
3,-0.14,3.42,8.80,0.20,-0.22,-0.04
3,0.22,2.93,8.37,0.17,-0.77,0.06
3,-1.72,3.20,7.07,0.38,-1.71,0.06
3,0.75,4.24,4.20,0.13,-1.44,0.38
3,-0.19,3.15,4.68,-0.43,-0.33,0.71
3,-0.10,1.81,2.96,-0.49,-1.33,0.94
3,-1.63,-1.06,0.00,-0.69,-1.78,1.15
3,-3.37,-5.11,-2.51,-1.17,-2.80,2.10
3,-3.35,-9.82,-0.51,-1.90,-1.40,3.62
3,-4.72,-21.13,1.24,-2.66,-1.52,5.43
3,-1.68,-33.33,2.90,-3.60,-2.17,6.98
3,15.26,-37.76,-0.30,-2.39,-0.32,7.43
3,25.74,-29.48,7.13,-2.40,0.79,"5.27"
3,23.52,-17.60,12.38,-2.06,-1.23,"2.94"
3,16.20,-9.81,8.57,-1.07,-1.19,0.80
3,9.90,-9.88,4.96,-0.36,-1.10,-0.41
3,3.51,-10.31,1.65,0.53,-1.04,-1.12
3,1.94,-11.36,-0.06,0.17,-0.14,-1.06
3,-0.46,-10.28,-0.60,0.19,0.40,-0.93
3,0.25,-10.44,-0.28,-0.18,0.69,-0.77
3,0.80,-9.46,-0.17,-0.04,0.93,-0.46
3,0.24,-9.58,0.36,-0.26,0.60,-0.22
3,1.16,-9.69,0.51,-0.05,0.58,-0.04
3,1.65,-9.62,0.34,-0.22,0.44,-0.04
3,2.05,-10.58,0.66,-0.21,0.74,-0.18
3,1.36,-9.93,0.75,-0.15,0.48,-0.14
3,2.14,-10.05,0.58,-0.25,0.33,-0.01
3,2.36,-9.90,0.68,-0.21,0.69,-0.07
3,2.28,-9.92,0.75,-0.14,0.72,-0.26
3,2.06,-9.74,0.80,-0.13,0.47,"-0.33"
3,2.30,-9.76,0.60,-0.14,0.55,"-0.35"
3,1.93,-9.73,0.61,-0.19,0.36,-0.36
3,2.46,-10.17,0.50,-0.27,0.07,"-0.35"
3,2.16,-9.87,0.35,-0.01,0.30,-0.35
3,2.42,-10.03,0.01,-0.12,0.25,-0.24
3,2.26,-9.90,0.14,-0.14,0.07,"-0.21"
3,2.81,-9.53,-0.02,-0.05,0.14,-0.20
3,2.82,-9.53,0.05,-0.12,0.34,-0.09
3,2.93,-9.86,0.25,-0.15,0.58,-0.04
3,2.82,-9.74,0.40,-0.10,0.49,-0.08
3,2.81,-9.59,0.36,-0.11,0.32,-0.08
3,3.28,-9.55,0.37,-0.14,0.44,-0.05
3,3.15,-9.57,0.51,-0.16,0.58,-0.09
3,3.15,-9.67,0.47,-0.13,0.69,"-0.11"
