label,ax,ay,az,gx,gy,gz
3,-3.11,8.42,2.80,-0.05,-0.03,-0.01
3,-3.44,8.38,2.70,-0.02,-0.00,"0.02"
3,-2.90,8.29,2.51,-0.06,0.01,0.02
3,-3.92,8.11,2.11,-0.06,0.29,"0.02"
3,-4.41,7.86,2.17,0.00,-0.43,"0.14"
3,-3.28,7.97,1.95,-0.21,-0.77,"0.24"
3,-3.71,7.93,2.13,-0.25,-0.37,0.33
3,-5.31,7.57,1.69,-0.31,-0.37,"0.66"
3,-5.41,7.29,0.62,-0.55,-0.81,1.31
3,-4.16,6.48,-0.14,-0.90,-1.16,"2.08"
3,-2.71,4.41,-0.03,-1.15,-0.78,2.55
3,-1.50,1.66,0.62,-1.32,-0.51,2.89
3,0.59,-3.52,2.14,-1.83,0.13,"3.67"
3,3.28,-12.69,4.65,-2.39,0.95,"3.91"
3,-0.36,-19.17,3.75,-2.82,-1.47,4.52
3,3.11,-23.37,1.73,-3.36,-2.14,"6.19"
3,7.34,-30.26,2.63,-4.49,-2.86,8.47
3,35.34,-36.84,4.76,-2.72,0.35,7.56
3,30.12,-23.84,12.14,-2.23,-1.42,5.20
3,21.24,-9.37,14.45,-1.30,0.18,"2.19"
3,14.25,-5.56,8.90,-0.01,-0.56,"0.17"
3,6.89,-7.88,4.46,0.52,0.16,-0.56
3,4.66,-9.66,1.58,0.18,0.32,"-0.85"
3,0.34,-11.05,0.71,0.35,0.69,-0.94
3,0.68,-9.94,0.23,0.16,0.07,-0.64
3,1.39,-9.76,0.10,0.04,-0.04,-0.58
3,2.36,-9.49,0.53,-0.18,0.26,-0.55
3,2.38,-9.46,1.29,-0.29,0.58,-0.38
3,2.16,-9.44,1.85,-0.44,0.54,"-0.31"
3,2.53,-9.39,2.03,-0.30,0.29,-0.26
3,2.67,-10.10,2.36,-0.18,0.13,-0.28
3,2.84,-9.67,1.89,-0.08,-0.15,-0.23
3,3.65,-9.12,1.78,-0.23,0.03,-0.22
3,3.59,-9.36,1.93,-0.28,0.37,-0.26
3,3.16,-9.39,2.04,-0.19,0.30,-0.22
3,3.32,-9.32,1.78,-0.10,0.05,-0.16
3,3.67,-9.28,1.65,-0.12,0.09,-0.10
3,3.58,-9.15,1.61,-0.11,0.16,-0.09
3,3.65,-9.30,1.75,-0.08,0.15,"-0.07"
3,3.63,-9.21,1.65,-0.04,0.03,"-0.04"
3,3.88,-9.17,1.60,-0.03,0.02,-0.02
3,4.00,-9.12,1.62,-0.05,0.04,-0.02
3,3.94,-9.17,1.74,-0.03,0.04,-0.04
3,3.98,-9.09,1.69,-0.02,0.01,-0.02
3,3.81,-9.11,1.71,0.02,-0.00,-0.02
3,4.08,-9.25,1.73,-0.01,-0.01,"-0.01"
3,3.93,-9.21,1.71,0.02,-0.04,-0.01
3,4.06,-9.11,1.67,0.01,-0.05,-0.04
3,3.93,-9.18,1.72,0.02,-0.05,-0.02
3,4.13,-9.01,1.37,-0.03,-0.04,"0.01"
