label,ax,ay,az,gx,gy,gz
3,6.43,1.00,7.35,0.02,0.02,0.09
3,6.28,0.85,7.09,0.07,-0.13,"0.14"
3,5.91,0.51,7.33,-0.01,-0.33,"0.23"
3,8.22,1.11,7.29,0.04,0.14,-0.01
3,6.49,1.15,7.48,-0.02,-0.22,0.01
3,6.13,0.99,7.41,0.09,0.29,"-0.05"
3,5.64,0.74,7.68,-0.03,0.11,0.10
3,4.53,0.26,7.82,0.08,0.07,0.38
3,3.36,-0.45,7.65,0.25,-0.22,"0.67"
3,1.23,-2.15,6.34,0.46,-0.05,"1.15"
3,4.27,-2.09,5.05,0.04,0.12,1.71
3,0.97,-3.77,6.35,-0.07,-0.19,1.15
3,1.71,-5.67,5.13,0.39,-0.77,2.18
3,2.38,-7.61,3.22,-0.04,0.03,"2.59"
3,-2.26,-13.96,-0.62,-0.58,-1.18,2.97
3,2.68,-20.25,-5.20,-2.00,-1.91,5.01
3,13.25,-25.45,-5.12,-2.73,-1.51,5.41
3,18.73,-23.77,5.24,-3.16,-0.29,5.47
3,23.10,-11.52,11.33,0.19,0.21,3.29
3,20.57,-6.29,10.09,-0.98,-1.36,1.10
3,10.99,-5.35,7.77,-0.71,-0.36,"-0.35"
3,5.08,-9.86,3.65,0.03,-0.25,-0.64
3,2.12,-10.11,1.79,0.06,-0.18,-0.77
3,0.52,-11.19,0.72,0.04,0.04,-0.70
3,0.83,-9.96,0.99,-0.18,0.26,"-0.36"
3,0.83,-9.49,1.45,-0.17,0.31,-0.13
3,2.75,-9.74,1.71,-0.19,0.03,"-0.01"
3,2.15,-9.50,1.82,-0.12,0.21,-0.17
3,2.81,-10.01,2.19,-0.26,0.19,-0.04
3,2.61,-9.36,2.10,0.04,0.05,"-0.15"
3,2.84,-9.45,2.20,-0.09,0.09,"-0.15"
3,2.60,-9.62,2.01,0.04,0.15,-0.08
3,2.95,-9.50,1.70,-0.03,0.01,0.00
3,2.51,-9.43,1.61,0.06,0.13,-0.08
3,2.72,-9.54,1.45,-0.09,0.08,"-0.03"
3,2.76,-9.62,1.47,-0.04,0.14,-0.03
3,3.07,-9.43,1.58,-0.10,0.02,"0.02"
3,2.67,-9.52,1.70,-0.10,0.07,-0.05
3,2.89,-9.54,1.70,-0.07,0.02,0.05
3,3.24,-9.56,1.76,-0.14,0.04,0.03
3,2.73,-9.48,1.75,-0.04,0.00,-0.05
3,2.84,-9.33,1.57,-0.06,-0.08,"0.02"
3,3.09,-9.50,1.70,-0.07,-0.08,0.04
3,2.96,-9.82,1.74,-0.10,-0.01,-0.03
3,3.01,-9.59,1.75,-0.06,0.11,"0.01"
3,3.17,-9.42,1.86,-0.06,0.04,"0.03"
3,2.69,-9.27,1.80,0.05,0.02,-0.06
3,2.82,-9.44,1.66,0.02,-0.08,-0.02
3,2.90,-9.46,1.55,-0.04,0.01,0.03
3,2.68,-9.57,1.59,-0.02,-0.08,"0.01"
