label,ax,ay,az,gx,gy,gz
4,4.19,-8.94,2.09,-0.10,0.08,0.01
4,4.16,-9.02,2.09,-0.10,0.03,"-0.01"
4,4.10,-8.94,2.04,-0.10,0.04,"-0.01"
4,4.13,-8.93,2.02,-0.12,0.03,0.01
4,4.10,-8.98,2.10,-0.12,0.04,0.01
4,4.20,-8.96,2.09,-0.11,0.03,0.02
4,4.25,-8.91,2.15,-0.12,0.06,0.02
4,4.35,-8.77,2.50,-0.11,0.07,0.00
4,5.08,-8.68,3.17,-0.04,0.10,-0.09
4,6.00,-7.71,4.06,-0.16,0.42,-0.26
4,7.29,-8.18,5.72,-0.20,1.27,-0.34
4,6.44,-9.92,6.45,0.47,1.48,"-0.44"
4,7.01,-9.30,6.35,0.96,0.53,-0.68
4,7.65,-9.24,6.42,1.28,0.76,-1.02
4,7.63,-8.58,7.75,1.29,0.92,"-1.13"
4,9.16,-9.56,9.31,1.82,0.79,"-1.15"
4,11.42,-11.00,12.33,2.02,1.41,-1.53
4,9.94,-11.97,15.86,2.71,1.45,-1.85
4,11.31,-15.30,17.46,3.80,0.88,-2.15
4,10.77,-15.36,13.21,4.78,0.85,-2.52
4,9.33,-14.44,9.15,4.70,1.43,"-2.79"
4,5.36,-12.48,3.71,5.10,1.24,-2.79
4,0.25,-8.67,-1.93,4.75,-0.63,-2.87
4,-1.02,-3.64,-4.45,3.64,-1.39,"-3.23"
4,-4.09,-0.76,-4.75,2.73,-0.59,"-3.10"
4,-10.17,2.39,-5.70,2.39,-1.24,-2.86
4,-8.66,5.07,-6.27,1.49,-1.32,"-1.47"
4,-8.75,6.03,-4.61,0.30,-0.05,-0.83
4,-5.94,7.12,-4.05,0.24,0.23,-0.24
4,-5.88,8.37,-2.64,-0.60,0.88,"-0.02"
4,-4.52,7.78,-0.30,-0.95,0.38,"0.16"
4,-4.13,8.08,1.18,-0.93,0.02,0.08
4,-4.12,7.84,1.61,-0.44,-0.27,"-0.00"
4,-4.29,8.28,1.56,-0.44,-0.33,0.00
4,-3.91,8.38,2.11,-0.30,0.01,"-0.08"
4,-4.72,8.23,2.12,-0.20,-0.09,-0.09
4,-4.28,7.96,1.75,0.04,-0.29,0.02
4,-3.91,8.34,1.34,0.02,-0.28,0.02
4,-4.40,8.28,1.13,0.01,0.03,"0.05"
4,-4.02,8.16,1.16,-0.01,-0.10,"0.03"
4,-4.07,8.24,1.16,-0.06,-0.04,-0.01
4,-4.31,8.26,0.98,-0.03,-0.11,"0.01"
4,-4.23,8.02,1.22,-0.15,-0.04,0.04
4,-3.90,8.20,1.06,-0.09,-0.05,0.03
4,-4.34,8.01,1.34,-0.14,-0.07,0.03
4,-3.70,8.27,1.55,-0.19,0.00,0.02
4,-4.13,8.08,1.77,-0.10,-0.02,0.01
4,-4.13,8.20,1.49,-0.08,-0.05,"0.04"
4,-3.83,8.18,1.37,-0.14,-0.01,0.03
4,-4.13,8.07,1.63,-0.18,0.10,"-0.01"
