label,ax,ay,az,gx,gy,gz
0,5.24,-8.29,2.66,-0.01,0.02,0.02
0,5.30,-8.16,2.52,-0.03,-0.02,0.03
0,5.24,-8.17,2.52,-0.03,-0.05,0.04
0,5.37,-8.25,2.44,-0.04,0.02,0.04
0,5.32,-8.19,2.44,-0.07,0.04,0.03
0,5.43,-8.35,2.56,-0.09,0.06,0.04
0,5.20,-8.28,2.65,-0.05,-0.01,0.00
0,5.30,-8.21,2.57,-0.03,0.00,0.01
0,5.20,-8.16,2.57,-0.04,-0.02,0.03
0,5.33,-8.30,2.53,-0.04,0.03,0.02
0,5.29,-8.24,2.53,-0.06,-0.00,0.03
0,5.21,-8.24,2.51,-0.06,0.05,"0.04"
0,5.29,-8.28,2.62,-0.06,-0.01,0.04
0,5.12,-8.26,2.62,-0.04,0.03,0.03
0,5.27,-8.12,2.54,-0.07,0.01,0.04
0,5.30,-8.25,2.59,-0.09,0.07,0.03
0,5.43,-8.54,2.72,-0.10,0.04,0.02
0,5.05,-8.16,2.50,0.00,-0.04,-0.02
0,5.24,-7.93,2.37,-0.07,0.03,0.01
0,5.26,-8.27,2.54,-0.08,0.06,0.01
0,5.43,-8.36,2.51,-0.09,0.04,-0.00
0,5.24,-8.26,2.55,-0.06,0.02,"-0.03"
0,5.28,-8.25,2.57,-0.07,0.03,-0.03
0,5.16,-8.36,2.60,-0.08,0.01,"-0.03"
0,5.20,-8.43,2.57,-0.07,0.05,-0.00
0,5.03,-8.33,2.59,-0.08,0.02,"0.00"
0,5.16,-8.24,2.54,-0.05,0.03,0.07
0,5.12,-8.30,2.53,-0.04,0.02,0.06
0,5.28,-8.23,2.46,-0.05,-0.03,0.04
0,5.19,-8.23,2.42,-0.06,-0.01,"0.05"
0,5.33,-8.36,2.51,-0.07,0.00,"0.04"
0,5.35,-8.39,2.61,-0.07,-0.00,0.01
0,5.24,-8.28,2.55,-0.04,0.00,0.02
0,5.23,-8.22,2.49,-0.03,0.00,0.01
0,5.26,-8.31,2.49,-0.05,0.01,0.00
0,5.21,-8.32,2.54,-0.02,-0.02,-0.03
0,5.22,-8.31,2.46,-0.04,0.01,-0.02
0,5.32,-8.27,2.48,-0.05,0.02,-0.03
0,5.03,-8.08,2.46,-0.06,0.01,"-0.03"
0,5.37,-8.29,2.53,-0.08,0.06,0.02
0,5.26,-8.28,2.56,-0.05,0.01,0.01
0,5.27,-8.33,2.55,-0.02,0.01,"0.01"
0,5.32,-8.20,2.44,-0.05,0.01,"0.02"
0,5.29,-8.32,2.56,-0.06,0.03,0.01
0,5.24,-8.24,2.51,-0.03,-0.00,0.01
0,5.32,-8.28,2.50,-0.06,0.01,"0.03"
0,5.21,-8.24,2.51,-0.05,-0.00,0.01
0,5.34,-8.33,2.51,-0.06,0.04,"0.02"
0,5.16,-8.19,2.55,-0.06,-0.04,0.02
0,5.30,-8.25,2.53,-0.04,0.04,"0.02"
