label,ax,ay,az,gx,gy,gz
0,6.45,-5.27,5.50,-0.06,0.00,-0.01
0,6.35,-5.28,5.54,-0.06,0.04,"-0.00"
0,6.38,-5.28,5.55,-0.06,0.00,"0.01"
0,6.39,-5.28,5.60,-0.06,0.03,-0.00
0,6.40,-5.28,5.60,-0.05,0.02,0.01
0,6.41,-5.26,5.58,-0.04,0.02,"0.01"
0,6.38,-5.27,5.55,-0.04,0.01,0.02
0,6.49,-5.27,5.56,-0.05,0.03,"0.01"
0,6.39,-5.29,5.60,-0.07,0.01,"0.01"
0,6.29,-5.33,5.67,-0.05,0.06,"0.01"
0,6.26,-5.24,5.44,-0.01,-0.04,0.05
0,6.43,-5.21,5.43,-0.06,0.02,0.05
0,6.54,-5.30,5.61,-0.09,-0.01,0.02
0,6.33,-5.27,5.61,-0.07,0.01,0.02
0,6.50,-5.26,5.54,-0.06,-0.01,0.01
0,6.38,-5.32,5.60,-0.06,-0.01,0.01
0,6.51,-5.31,5.62,-0.06,0.02,0.00
0,6.35,-5.27,5.59,-0.07,-0.00,0.01
0,6.35,-5.31,5.61,-0.05,0.04,0.00
0,6.38,-5.30,5.56,-0.05,0.01,0.02
0,6.38,-5.38,5.60,-0.05,0.03,0.01
0,6.36,-5.32,5.53,-0.04,-0.00,0.02
0,6.26,-5.28,5.52,-0.04,0.02,0.03
0,6.51,-5.32,5.49,-0.06,0.03,0.04
0,6.49,-5.37,5.57,-0.05,0.02,0.01
0,6.37,-5.26,5.53,-0.04,0.01,0.00
0,6.36,-5.33,5.53,-0.05,0.01,"0.02"
0,6.46,-5.32,5.55,-0.05,-0.00,0.02
0,6.35,-5.33,5.57,-0.05,0.03,"0.01"
0,6.37,-5.33,5.59,-0.05,0.02,0.01
0,6.29,-5.35,5.59,-0.05,0.01,"0.02"
0,6.40,-5.26,5.52,-0.05,0.02,0.02
0,6.44,-5.33,5.59,-0.05,0.03,0.02
0,6.40,-5.35,5.58,-0.05,0.01,0.01
0,6.23,-5.30,5.58,-0.04,0.01,"0.01"
0,6.43,-5.26,5.52,-0.04,0.01,0.03
0,6.42,-5.35,5.55,-0.06,0.03,0.01
0,6.36,-5.31,5.59,-0.05,0.01,0.01
0,6.29,-5.27,5.57,-0.04,0.01,0.02
0,6.39,-5.28,5.58,-0.05,0.02,"0.02"
0,6.40,-5.32,5.60,-0.04,0.01,"0.01"
0,6.37,-5.30,5.58,-0.06,0.02,0.00
0,6.29,-5.33,5.56,-0.06,0.01,0.02
0,6.42,-5.32,5.59,-0.06,0.02,"0.02"
0,6.26,-5.25,5.54,-0.07,0.02,0.01
0,6.49,-5.33,5.58,-0.07,0.03,0.01
0,6.22,-5.28,5.60,-0.05,-0.00,"-0.00"
0,6.34,-5.31,5.59,-0.05,0.01,"0.03"
0,6.42,-5.33,5.57,-0.05,0.01,0.01
0,6.43,-5.29,5.57,-0.05,0.03,"0.00"
