label,ax,ay,az,gx,gy,gz
0,6.39,-6.85,3.56,-0.07,0.02,0.05
0,6.45,-6.88,3.60,-0.10,0.01,"0.07"
0,6.57,-6.98,3.68,-0.08,0.07,"0.04"
0,6.39,-6.97,3.74,-0.04,-0.00,0.04
0,6.52,-6.85,3.56,-0.02,0.00,"0.04"
0,6.47,-6.85,3.64,-0.04,0.03,0.02
0,6.43,-6.89,3.63,-0.04,0.02,0.01
0,6.42,-6.89,3.65,-0.04,0.02,0.01
0,6.40,-6.87,3.59,-0.05,0.03,0.01
0,6.42,-6.97,3.68,-0.06,0.04,0.01
0,6.39,-6.91,3.66,-0.04,0.02,0.00
0,6.31,-6.85,3.64,-0.05,0.03,-0.00
0,6.35,-6.90,3.65,-0.07,0.04,0.02
0,6.40,-6.95,3.67,-0.07,0.03,0.01
0,6.44,-6.93,3.65,-0.06,0.02,0.02
0,6.26,-6.98,3.64,-0.06,0.04,0.01
0,6.45,-6.97,3.57,-0.08,0.03,0.05
0,6.53,-6.87,3.68,-0.15,0.14,0.06
0,6.34,-7.00,3.90,-0.11,0.12,0.01
0,6.08,-6.92,3.79,-0.01,0.00,0.01
0,6.27,-6.93,3.62,0.01,-0.03,"0.02"
0,6.33,-6.97,3.54,0.01,-0.06,"0.00"
0,6.40,-7.04,3.58,-0.04,0.00,-0.01
0,6.21,-6.94,3.68,-0.07,0.01,0.00
0,6.24,-6.90,3.72,-0.06,0.02,0.02
0,6.31,-6.93,3.72,-0.06,0.01,0.04
0,6.38,-6.97,3.76,-0.05,0.03,0.03
0,6.34,-6.92,3.73,-0.06,0.00,0.03
0,6.27,-6.97,3.77,-0.04,0.04,0.02
0,6.35,-6.96,3.71,-0.03,-0.01,0.03
0,6.35,-6.98,3.69,-0.03,0.02,0.02
0,6.34,-6.99,3.67,-0.06,0.02,0.03
0,6.30,-6.98,3.72,-0.05,0.04,0.03
0,6.38,-6.93,3.71,-0.06,0.02,0.03
0,6.28,-6.97,3.83,-0.03,0.01,0.01
0,6.29,-6.90,3.66,-0.02,-0.01,0.00
0,6.19,-6.94,3.70,-0.03,0.03,0.01
0,6.33,-6.92,3.62,-0.04,-0.01,"0.03"
0,6.30,-7.01,3.69,-0.07,0.03,"0.03"
0,6.29,-6.91,3.71,-0.05,-0.01,0.01
0,6.29,-6.92,3.75,-0.08,0.03,"0.01"
0,6.37,-6.94,3.83,-0.06,-0.00,0.00
0,6.32,-7.04,3.85,-0.04,0.03,"0.00"
0,6.23,-6.95,3.76,-0.01,-0.02,-0.00
0,6.33,-7.01,3.82,-0.04,0.03,0.02
0,6.15,-6.98,3.76,0.01,-0.03,"0.01"
0,6.36,-6.80,3.61,-0.04,0.04,0.03
0,6.21,-6.88,3.68,-0.07,0.02,0.02
0,6.43,-6.92,3.71,-0.06,0.03,0.04
0,6.45,-6.93,3.73,-0.07,0.00,"0.01"
