label,ax,ay,az,gx,gy,gz
2,1.25,-2.55,8.11,0.40,0.04,-0.19
2,1.15,-2.23,7.77,0.20,0.06,"-0.15"
2,1.40,-2.29,8.27,0.09,-0.02,-0.02
2,1.66,-2.32,8.71,0.04,0.01,-0.08
2,1.06,-1.98,8.67,-0.01,-0.02,"-0.07"
2,1.37,-1.84,8.98,-0.06,0.04,-0.02
2,2.21,-1.33,9.11,-0.11,0.01,"0.02"
2,3.68,-0.43,9.45,-0.18,0.26,"-0.07"
2,6.42,0.29,9.80,-0.29,0.38,-0.14
2,7.88,-0.30,9.69,-0.03,0.63,"-0.82"
2,8.21,-2.03,9.84,0.06,0.72,-1.44
2,7.87,-4.04,9.17,0.33,0.52,-2.08
2,6.90,-5.94,8.85,0.31,0.43,-2.79
2,6.87,-7.18,7.43,0.31,-0.01,-2.98
2,8.99,-10.06,7.29,-0.88,-0.64,-3.54
2,13.66,-14.77,7.81,-1.30,-0.36,"-4.29"
2,7.57,-20.35,6.77,-1.02,-1.87,"-6.40"
2,3.99,-24.10,7.63,-1.52,-0.15,"-6.51"
2,-6.92,-18.20,9.99,-0.58,1.54,-6.23
2,-13.21,-12.76,10.74,0.03,1.17,-3.84
2,-12.20,-2.83,10.11,-0.47,0.42,-1.81
2,-5.70,1.10,9.01,-0.24,0.48,0.11
2,-3.58,3.36,9.82,-0.10,1.18,"1.23"
2,2.75,0.88,10.00,-0.17,-0.08,0.69
2,3.67,0.49,9.66,0.03,-0.16,"0.54"
2,2.55,-0.02,9.10,0.12,-0.01,0.39
2,1.25,0.25,9.36,0.06,0.17,"0.42"
2,2.06,0.06,9.53,0.14,-0.05,0.38
2,2.87,0.61,8.58,0.14,0.18,"0.20"
2,2.99,0.46,8.91,-0.09,0.17,0.07
2,1.02,0.76,9.66,-0.13,-0.04,"0.05"
2,1.36,0.55,9.51,-0.00,-0.10,0.13
2,2.78,0.34,9.15,0.02,0.01,0.03
2,1.87,0.32,9.64,0.07,0.03,0.01
2,1.58,0.52,9.26,0.09,0.05,0.00
2,2.23,0.48,9.23,-0.00,-0.01,"0.04"
2,1.90,0.51,9.38,-0.00,0.04,"0.04"
2,1.39,0.42,9.44,0.11,0.06,0.12
2,1.92,0.39,9.09,0.21,-0.02,0.19
2,1.03,1.16,8.67,0.18,0.05,"0.23"
2,1.91,0.87,9.14,-0.10,-0.24,0.28
2,2.32,0.69,9.78,-0.12,-0.19,0.23
2,2.42,0.60,9.28,-0.02,0.04,0.22
2,1.88,0.95,9.03,0.01,0.05,0.18
2,2.31,0.95,9.07,-0.09,-0.14,0.22
2,2.47,0.98,9.43,-0.04,-0.09,0.18
2,2.51,0.77,9.43,0.01,0.02,0.13
2,2.12,0.90,9.22,0.07,0.03,0.09
2,2.44,0.75,9.14,-0.00,0.01,"0.07"
2,2.10,0.94,9.05,0.01,0.01,"0.10"
