label,ax,ay,az,gx,gy,gz
4,2.65,-8.05,5.16,0.02,0.01,-0.04
4,2.57,-8.07,5.25,0.02,0.01,"-0.03"
4,2.61,-8.01,5.14,0.05,0.01,-0.01
4,2.83,-7.98,4.88,0.03,-0.02,"0.02"
4,2.89,-8.06,5.08,-0.02,0.10,-0.04
4,2.59,-7.85,5.34,0.02,-0.07,-0.06
4,2.94,-7.94,5.88,0.00,-0.00,-0.07
4,3.51,-7.52,7.32,-0.01,0.16,-0.14
4,3.20,-7.99,8.60,0.36,0.11,-0.08
4,4.20,-7.82,8.94,0.63,-0.25,-0.14
4,4.78,-7.21,9.38,0.95,-0.08,-0.37
4,4.75,-8.11,10.34,1.24,0.04,-0.48
4,5.28,-8.07,10.85,1.61,0.01,"-0.67"
4,5.57,-8.65,12.18,1.93,0.26,"-0.86"
4,5.35,-8.02,13.16,2.32,0.18,-1.01
4,5.64,-8.65,14.84,2.65,0.74,-1.11
4,5.95,-7.99,17.68,2.87,1.06,-0.87
4,6.57,-10.97,18.82,4.05,0.93,-0.83
4,7.10,-11.96,13.01,5.16,0.30,-1.18
4,5.76,-11.24,4.99,5.57,0.37,"-1.66"
4,2.86,-7.64,-2.28,4.86,-0.07,-2.37
4,-0.96,-2.59,-6.00,3.84,1.00,-2.49
4,-4.98,1.17,-6.57,2.85,0.66,"-1.88"
4,-6.13,3.17,-8.48,2.43,-0.99,-1.49
4,-6.70,4.83,-8.26,2.14,-1.56,-1.13
4,-7.46,6.26,-7.85,1.50,-1.62,-0.56
4,-4.36,7.61,-6.32,0.40,-0.45,0.35
4,-4.36,8.76,-2.77,-0.41,0.60,0.44
4,-3.63,8.96,-1.74,-0.63,-0.01,0.10
4,-3.69,9.94,-1.08,-0.57,-0.03,0.42
4,-1.01,8.92,-0.66,-0.79,-0.42,0.37
4,-1.89,8.69,-0.10,-0.41,0.38,-0.21
4,-4.00,9.13,0.20,-0.39,0.06,-0.24
4,-3.29,9.33,-0.15,-0.27,-0.45,0.11
4,-2.55,8.64,-0.15,-0.23,-0.24,0.15
4,-2.03,8.63,-0.01,-0.24,0.01,-0.03
4,-2.89,8.72,0.33,-0.30,-0.08,-0.05
4,-2.87,8.76,0.70,-0.37,-0.13,-0.15
4,-3.19,9.01,0.71,-0.26,0.01,-0.14
4,-3.61,8.81,0.58,-0.25,-0.17,-0.07
4,-3.23,8.85,0.13,-0.20,-0.26,0.02
4,-2.80,8.59,0.43,-0.31,-0.18,"0.13"
4,-2.84,8.64,1.02,-0.41,-0.04,0.02
4,-2.72,8.47,1.53,-0.45,-0.02,0.00
4,-3.50,8.55,1.77,-0.43,0.10,-0.11
4,-3.52,8.69,1.89,-0.45,0.09,-0.05
4,-3.29,8.41,1.87,-0.26,0.23,"0.03"
4,-3.57,8.66,2.11,-0.30,0.09,"0.11"
4,-2.49,8.40,2.09,-0.24,-0.17,0.16
4,-3.06,8.49,1.90,-0.07,-0.15,"-0.01"
