label,ax,ay,az,gx,gy,gz
2,7.34,0.30,7.08,-0.12,0.20,-0.03
2,7.09,0.19,7.23,-0.09,0.13,-0.08
2,7.33,-0.03,7.22,-0.08,0.16,-0.12
2,6.64,-0.13,7.18,-0.04,0.06,-0.16
2,6.57,-0.11,7.02,-0.03,0.09,-0.15
2,6.52,0.34,6.97,-0.04,0.04,-0.09
2,6.92,1.86,7.08,-0.24,0.18,-0.08
2,7.02,1.93,7.43,-0.29,0.36,-0.04
2,8.12,3.05,6.52,-0.20,0.05,-0.05
2,9.65,3.47,5.80,-0.56,0.91,-0.26
2,10.88,1.86,5.85,-0.32,0.12,-0.67
2,11.56,1.12,4.56,-0.19,0.07,-1.17
2,11.34,-0.65,3.25,-0.39,-0.38,-1.75
2,10.60,-2.45,1.47,-0.88,-0.71,-2.07
2,9.97,-2.84,2.88,-2.13,-0.34,-2.52
2,9.31,-3.23,4.12,-1.82,-0.24,-2.36
2,14.31,-5.48,4.03,-2.03,-0.93,-2.46
2,16.93,-8.55,3.75,-2.16,-0.58,-3.43
2,20.91,-12.45,1.57,-2.30,-1.25,-4.28
2,27.08,-15.60,5.65,-4.60,-1.58,-6.33
2,17.44,-26.72,9.90,-4.84,-2.35,-7.58
2,3.63,-24.24,14.67,-3.94,-0.23,-6.31
2,-12.37,-15.41,15.88,-2.18,0.46,-4.86
2,-10.96,-4.67,13.80,0.18,-0.61,-0.78
2,0.32,0.89,8.58,0.73,-0.53,1.85
2,11.54,4.29,6.37,0.55,-0.22,"1.28"
2,5.70,4.18,7.66,0.35,0.08,"0.92"
2,7.12,3.29,7.18,0.65,-0.47,0.73
2,5.91,3.01,6.99,0.60,-0.13,"0.71"
2,6.80,2.90,6.47,0.76,-0.32,0.88
2,7.02,3.28,6.00,0.58,0.26,"0.63"
2,6.80,3.33,5.84,0.48,-0.08,0.58
2,7.44,3.38,5.92,0.47,0.05,"0.54"
2,6.98,3.60,5.85,0.44,0.08,0.48
2,7.23,3.69,5.89,0.27,0.05,0.37
2,7.08,3.49,5.83,0.29,0.11,0.27
2,6.40,3.53,5.79,0.23,0.09,0.31
2,7.35,3.50,5.80,0.21,-0.03,"0.31"
2,7.23,3.21,6.00,0.20,0.03,"0.23"
2,7.31,3.37,5.71,0.22,0.11,0.26
2,7.13,3.42,5.53,0.17,0.05,"0.20"
2,7.14,3.27,5.55,0.14,-0.01,0.20
2,7.15,3.19,5.62,0.14,0.01,0.16
2,7.57,3.12,5.60,0.13,-0.05,"0.18"
2,7.63,3.10,5.72,0.16,-0.08,0.19
2,7.69,3.11,5.89,0.18,0.01,"0.19"
2,7.65,3.18,5.63,0.18,0.14,0.19
2,8.01,3.31,5.33,0.14,0.16,0.16
2,7.68,3.34,5.31,0.12,0.21,0.13
2,7.27,3.23,5.41,0.15,0.17,"0.11"
