label,ax,ay,az,gx,gy,gz
5,1.14,-1.66,9.33,0.08,-0.00,0.10
5,1.69,-1.84,9.15,0.08,0.11,0.09
5,2.03,-1.74,8.88,0.05,0.01,"0.04"
5,1.72,-1.63,8.94,0.01,0.11,0.00
5,1.42,-1.53,8.64,-0.07,0.27,"-0.01"
5,0.63,-1.71,10.06,-0.12,0.08,-0.01
5,0.46,-1.37,12.63,0.16,-0.11,"0.04"
5,-0.76,-3.42,17.50,0.54,-0.15,"0.31"
5,-0.22,-2.79,16.61,1.77,-1.17,0.23
5,-0.62,-2.96,13.69,2.16,-0.28,0.29
5,-1.84,-3.05,11.59,2.08,0.59,0.58
5,-1.88,-2.91,8.72,2.01,1.26,"1.08"
5,-2.34,-2.83,6.29,1.57,1.90,"1.54"
5,-1.90,-2.04,4.86,1.12,1.61,"2.02"
5,-0.68,-2.21,3.66,0.75,1.75,2.37
5,1.64,-1.25,2.13,0.05,1.59,2.58
5,2.98,-1.20,3.16,-0.79,1.64,"2.76"
5,4.81,-0.51,4.24,-1.25,1.00,"2.66"
5,6.54,0.39,4.88,-1.76,0.82,"2.25"
5,6.70,0.02,6.40,-2.19,0.66,"1.83"
5,7.06,-0.93,6.85,-1.91,-0.04,"1.25"
5,7.68,-2.00,7.02,-2.29,0.21,"0.62"
5,9.68,-2.27,7.50,-2.30,-0.27,"-0.08"
5,6.49,-3.54,8.29,-2.03,-1.37,"-0.25"
5,7.26,-7.80,11.82,-2.91,0.51,"-1.27"
5,8.13,-6.66,12.18,-2.17,-0.64,"-1.47"
5,1.98,-8.63,12.93,-1.86,0.33,"-1.96"
5,4.65,-8.88,11.98,-1.85,0.50,"-2.05"
5,2.39,-8.24,10.92,-1.03,0.48,"-2.08"
5,2.92,-10.11,11.76,-0.88,1.11,"-2.03"
5,4.66,-5.61,9.93,-0.37,1.16,"-2.30"
5,1.84,-6.69,11.40,-0.14,0.80,"-1.98"
5,4.37,-6.36,12.73,-0.04,0.49,"-1.69"
5,5.80,-7.14,13.99,0.81,0.74,"-1.91"
5,4.37,-7.55,15.16,1.40,0.77,"-1.67"
5,4.88,-7.67,13.88,1.59,0.88,"-1.65"
5,3.17,-8.94,9.40,1.69,0.84,"-1.53"
5,0.28,-6.56,3.86,2.06,1.27,"-1.18"
5,-0.89,-4.06,0.81,1.50,0.60,"-0.48"
5,0.91,-0.96,1.08,0.56,0.54,"-0.03"
5,1.11,0.52,3.49,0.14,0.73,"0.13"
5,1.99,0.27,6.22,-0.41,0.12,"0.48"
5,2.37,0.84,7.42,-0.23,0.33,"0.34"
5,2.56,0.52,8.26,-0.31,-0.11,"0.35"
5,2.18,0.71,9.11,-0.23,0.27,"0.18"
5,2.53,0.68,9.11,-0.21,-0.07,"0.22"
5,2.97,0.27,9.31,-0.31,0.00,"0.22"
5,2.76,0.16,9.46,-0.06,-0.01,"0.07"
5,2.76,0.24,9.06,-0.15,0.04,"0.01"
