label,ax,ay,az,gx,gy,gz
0,3.96,-9.03,1.45,-0.04,0.00,0.05
0,4.09,-9.38,1.54,-0.01,-0.01,"0.04"
0,4.11,-9.13,1.51,0.12,0.01,"-0.02"
0,4.05,-8.88,1.41,-0.05,-0.02,0.03
0,4.13,-9.22,1.44,-0.06,-0.01,0.00
0,4.07,-9.07,1.43,-0.06,0.02,"0.01"
0,4.06,-9.11,1.42,-0.08,-0.04,-0.00
0,4.27,-9.23,1.45,-0.15,-0.05,0.05
0,4.08,-9.15,1.52,0.01,0.03,-0.04
0,4.17,-9.02,1.41,-0.10,0.03,0.04
0,4.19,-9.28,1.44,-0.11,0.03,"-0.01"
0,3.97,-8.95,1.47,-0.10,-0.01,"-0.01"
0,4.25,-9.24,1.41,-0.11,0.00,0.05
0,4.06,-9.18,1.49,-0.13,0.00,0.02
0,3.90,-9.18,1.60,-0.12,-0.02,-0.02
0,4.04,-8.94,1.36,-0.09,0.06,0.03
0,3.97,-9.21,1.41,-0.14,0.02,-0.00
0,4.12,-9.17,1.29,-0.10,-0.06,-0.05
0,4.12,-9.15,1.22,-0.08,-0.05,-0.02
0,4.23,-9.11,1.19,-0.06,0.02,0.03
0,4.23,-9.15,1.16,-0.07,0.00,0.01
0,4.23,-9.16,1.25,-0.09,0.02,0.01
0,4.12,-9.16,1.26,-0.04,-0.00,"-0.02"
0,4.17,-9.14,1.15,-0.06,-0.04,0.02
0,4.32,-9.20,1.18,-0.04,0.01,0.02
0,4.22,-9.14,1.20,-0.04,-0.00,0.01
0,4.19,-9.08,1.14,-0.06,0.01,0.01
0,4.29,-9.15,1.19,-0.07,0.02,0.03
0,4.23,-9.20,1.22,-0.05,0.04,0.01
0,4.14,-9.13,1.18,-0.07,0.01,0.01
0,4.12,-9.14,1.18,-0.04,0.01,0.01
0,4.24,-9.13,1.14,-0.07,0.00,0.03
0,4.29,-9.22,1.18,-0.06,-0.01,0.02
0,4.17,-9.16,1.17,-0.05,0.02,0.01
0,4.11,-9.11,1.13,-0.04,-0.00,0.02
0,4.29,-9.21,1.07,-0.05,-0.00,0.01
0,4.18,-9.11,1.17,-0.07,-0.02,0.02
0,4.21,-9.23,1.22,-0.04,-0.01,0.02
0,4.07,-9.12,1.14,-0.02,-0.02,"0.03"
0,4.09,-9.05,1.14,-0.07,-0.08,"0.05"
0,4.46,-9.33,1.11,-0.06,0.01,"0.05"
0,4.24,-9.22,1.19,-0.02,0.04,-0.00
0,4.17,-9.06,1.14,-0.05,0.03,0.01
0,4.18,-9.21,1.16,-0.04,0.02,"0.01"
0,4.19,-9.17,1.11,-0.06,0.03,0.01
0,4.04,-9.13,1.09,-0.02,0.03,"0.01"
0,4.13,-9.16,1.12,-0.12,-0.03,0.04
0,4.19,-9.22,1.15,-0.07,-0.06,0.04
0,4.37,-9.26,1.08,-0.06,0.01,0.05
0,4.10,-9.11,1.09,0.01,0.04,"-0.00"
