label,ax,ay,az,gx,gy,gz
4,2.85,-9.62,1.83,-0.06,0.16,-0.01
4,2.73,-9.53,1.77,-0.07,0.12,"-0.01"
4,2.81,-9.47,1.60,-0.05,0.11,0.01
4,2.71,-9.31,1.36,-0.07,0.14,"0.04"
4,3.50,-9.24,1.53,-0.21,0.53,0.13
4,3.15,-9.31,1.90,-0.00,0.74,0.12
4,4.05,-9.50,2.22,-0.15,0.42,0.19
4,5.52,-9.25,3.40,-0.02,0.73,0.08
4,5.93,-9.53,5.06,0.16,1.70,"-0.23"
4,7.78,-9.89,5.39,0.69,1.31,-0.52
4,7.09,-9.90,5.38,0.90,1.65,"-1.03"
4,6.39,-10.78,5.70,1.31,1.29,-1.23
4,6.69,-11.03,5.78,1.58,1.01,-1.43
4,7.06,-11.94,6.42,1.84,0.54,-1.65
4,8.46,-12.03,8.57,1.81,0.97,-2.00
4,8.10,-14.62,13.75,2.49,2.35,-2.31
4,10.75,-16.27,17.89,2.69,1.77,-2.04
4,9.61,-19.89,18.88,4.14,2.81,-2.41
4,6.60,-20.73,15.87,4.91,1.91,-2.37
4,2.41,-21.35,9.38,6.02,2.14,-2.18
4,-1.87,-15.68,-4.34,6.31,-0.18,-1.88
4,-5.02,-7.26,-13.41,4.95,1.98,-1.90
4,-8.06,1.38,-16.09,3.38,-2.30,-1.14
4,-4.69,2.71,-12.70,1.99,0.36,-1.27
4,-7.34,7.31,-8.67,0.60,-0.26,-0.34
4,-3.71,7.94,-3.98,-0.45,1.33,-0.21
4,-6.53,8.25,-1.01,-0.56,0.63,-0.30
4,-3.75,8.90,-0.12,-0.86,-0.12,0.34
4,-3.97,8.90,0.86,-0.72,0.12,-0.02
4,-4.70,8.58,2.49,-0.71,0.66,0.18
4,-3.09,9.06,2.37,-0.47,-0.14,0.64
4,-2.18,8.16,2.25,-0.26,-0.05,0.36
4,-2.49,8.74,1.81,-0.36,-0.27,0.11
4,-2.69,8.88,1.94,-0.37,0.08,"0.07"
4,-3.57,8.59,2.18,-0.35,0.11,0.09
4,-2.73,8.84,2.42,-0.33,0.11,0.30
4,-1.87,8.66,2.59,-0.20,-0.08,"0.33"
4,-1.83,8.76,2.60,-0.31,0.09,"0.21"
4,-2.01,8.60,3.04,-0.26,0.23,0.06
4,-2.11,8.50,3.18,-0.25,0.06,"-0.01"
4,-2.49,8.64,3.03,-0.17,0.14,-0.09
4,-3.19,8.62,2.85,-0.10,0.14,"-0.01"
4,-2.51,8.40,2.76,-0.11,-0.04,0.13
4,-2.17,8.43,2.72,-0.09,0.03,0.09
4,-2.60,8.57,2.60,-0.09,-0.05,0.04
4,-2.50,8.32,2.75,-0.16,0.05,-0.01
4,-2.88,8.54,2.68,-0.12,-0.05,0.05
4,-2.76,8.29,2.74,-0.12,-0.03,"0.08"
4,-2.62,8.36,2.66,-0.14,-0.02,"0.11"
4,-2.26,8.25,2.67,-0.19,0.05,"0.14"
