label,ax,ay,az,gx,gy,gz
0,6.86,-5.55,4.78,-0.04,0.01,0.02
0,6.98,-5.58,4.73,-0.04,0.03,"0.02"
0,6.88,-5.54,4.67,-0.05,0.02,"0.02"
0,6.98,-5.58,4.63,-0.07,0.05,0.03
0,6.88,-5.61,4.69,-0.06,0.02,"0.03"
0,6.90,-5.66,4.72,-0.08,0.03,0.01
0,6.79,-5.62,4.75,-0.07,0.01,0.00
0,6.79,-5.63,4.71,-0.05,0.01,"0.02"
0,6.88,-5.65,4.67,-0.06,0.01,0.02
0,6.91,-5.69,4.77,-0.05,0.02,0.03
0,6.92,-5.64,4.72,-0.06,0.02,0.03
0,6.90,-5.55,4.70,-0.05,0.03,0.02
0,6.99,-5.65,4.76,-0.06,0.05,0.02
0,6.81,-5.60,4.72,-0.04,0.00,0.00
0,6.83,-5.66,4.73,-0.04,0.05,0.00
0,6.92,-5.63,4.65,-0.05,-0.00,0.01
0,6.75,-5.64,4.73,-0.07,0.03,0.01
0,6.88,-5.67,4.71,-0.07,0.02,0.01
0,6.77,-5.66,4.80,-0.06,0.00,0.01
0,6.83,-5.65,4.75,-0.06,0.03,0.02
0,6.86,-5.61,4.73,-0.06,0.03,0.02
0,6.87,-5.68,4.77,-0.05,0.03,0.01
0,6.79,-5.60,4.73,-0.04,0.02,0.01
0,6.79,-5.61,4.71,-0.04,0.03,0.01
0,6.92,-5.65,4.68,-0.04,0.01,0.00
0,6.86,-5.58,4.70,-0.08,0.00,0.01
0,6.82,-5.67,4.79,-0.07,0.04,-0.01
0,6.81,-5.68,4.80,-0.06,-0.00,-0.00
0,6.73,-5.65,4.78,-0.05,0.02,"0.01"
0,6.79,-5.65,4.73,-0.04,-0.01,0.02
0,6.84,-5.66,4.71,-0.06,0.02,0.02
0,6.81,-5.66,4.80,-0.06,0.00,0.03
0,6.83,-5.64,4.74,-0.06,0.01,0.03
0,6.89,-5.65,4.74,-0.05,0.02,0.03
0,6.78,-5.69,4.69,-0.04,-0.00,0.03
0,6.71,-5.62,4.70,-0.07,-0.00,0.06
0,6.92,-5.69,4.70,-0.07,-0.04,"0.03"
0,6.83,-5.68,4.74,-0.09,0.00,0.03
0,6.81,-5.66,4.71,-0.09,0.03,"0.00"
0,6.81,-5.69,4.70,-0.09,0.03,0.02
0,6.80,-5.80,4.75,-0.08,-0.00,-0.00
0,6.89,-5.71,4.61,-0.07,-0.01,0.02
0,6.84,-5.71,4.58,-0.08,0.00,0.02
0,6.82,-5.75,4.65,-0.10,0.01,"0.01"
0,6.89,-5.82,4.71,-0.07,0.02,0.01
0,6.83,-5.79,4.67,-0.04,-0.00,0.01
0,6.83,-5.77,4.66,-0.05,0.03,0.01
0,6.89,-5.74,4.61,-0.04,-0.00,-0.00
0,6.81,-5.78,4.64,-0.06,0.02,0.02
0,6.90,-5.76,4.58,-0.03,0.00,"0.01"
